"objetID";"dateReferentiel";"route";"longueur";"prD";"depPrD";"concessionPrD";"absD";"cumulD";"xD";"yD";"zD";"prF";"depPrF";"concessionPrF";"absF";"cumulF";"xF";"yF";"zF";"cote";"voie";"accrochage";"ClasseProfilTravSectionnee-2019-01-01-profil";"ClasseProfilTravSectionnee-2019-01-01-profil_lib";"ItiEuropeen-2015-01-01-ItiEuropeen";"Macro_sections-2019-01-01-CodeMacroSection";"Macro_sections-2019-01-01-MacroSectionEquipee";"Macro_sections-2019-01-01-NomStationRef";"Macro_sections-2019-01-01-CodeSiredoStationRef";"Macro_sections-2019-01-01-TypeStationRef";"Macro_sections-2019-01-01-TypeStationRef_lib";"Macro_sections-2019-01-01-DateStationRef";"Macro_sections-2019-01-01-IndiceNational";"Macro_sections-2019-01-01-sectionnement_gestionnaire";"sousReseauIndice-2019-01-01-sousReseauIndice";"sousReseauIndice-2019-01-01-sousReseauIndice_lib";"sectionnement_departement";"sectionnement_gestionnaire"
"12014";"2019-01-01";"A0001";"2440";"0";"93";"N";"0";"0";"653006,6";"6867037,55";"0";"2";"93";"N";"460";"2440";"652895,68";"6869486,5";"0";"I";"0";"ACCROCHE";"=2*4V";"=2*4V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"u5gK1lq_section1_12014";"2019-01-01";"A0001";"785,2";"2";"93";"N";"460";"2440";"652895,68";"6869486,5";"0";"3";"93";"N";"248,2";"3225,2";"653192,95";"6870100,7";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"12016";"2019-01-01";"A0001";"401,8";"3";"93";"N";"248,2";"3225,2";"653192,95";"6870100,7";"0";"3";"93";"N";"650";"3627";"653570,77";"6870241,67";"0";"I";"0";"ACCROCHE";">2*4V";">2*4V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"u5gK1lq_section1_12016";"2019-01-01";"A0001";"820,5";"3";"93";"N";"650";"3627";"653570,77";"6870241,67";"0";"4";"93";"N";"460,5";"4447,5";"654333,83";"6870523,68";"0";"I";"0";"ACCROCHE";"=2*4V";"=2*4V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"12018";"2019-01-01";"A0001";"229,5";"4";"93";"N";"460,5";"4447,5";"654333,83";"6870523,68";"0";"4";"93";"N";"690";"4677";"654554,12";"6870572";"0";"I";"0";"ACCROCHE";">2*4V";">2*4V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"u5gK1lq_section1_12018";"2019-01-01";"A0001";"2330";"4";"93";"N";"690";"4677";"654554,12";"6870572";"0";"7";"93";"N";"0";"7007";"656820,85";"6870967,75";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"12020";"2019-01-01";"A0001";"5196";"7";"93";"N";"0";"7007";"656820,85";"6870967,75";"0";"12";"93";"N";"200";"12203";"661190,21";"6873674,3";"0";"I";"0";"ACCROCHE";"=2*4V";"=2*4V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"3XpPxCb_section1_12021";"2019-01-01";"A0001";"1202";"12";"93";"N";"200";"12203";"661190,21";"6873674,3";"0";"0";"95";"N";"0";"13405";"662045,66";"6874523,29";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"93";"DIRIF"
"3XpPxCb_section1_12022";"2019-01-01";"A0001";"5400";"0";"95";"N";"0";"13405";"662045,66";"6874523,29";"0";"18";"95";"N";"810";"18805";"665417,28";"6878704,65";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"E19";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"95";"DIRIF"
"u5gK1lq_section2_12022";"2019-01-01";"A0001";"4820";"14";"95";"N";"0";"13985";"662458,53";"6874933,32";"0";"18";"95";"N";"810";"18805";"665417,28";"6878704,65";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"E15";"";"";"";"";"";"";"";"";"";"2";"Autoroute et voie rapide urbaine";"95";"DIRIF"
"DIRN_VOIE-519";"2019-01-01";"A0001";"7439";"187";"62";"N";"0";"186791";"698351,8";"7037530,5";"0";"194";"62";"N";"489";"194230";"700064,97";"7044327,59";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"";"A0001_M8";"1";"MARTINSART";"ML159.S";"3";"QT, TT, VT, LC, VC, KC";"2006-06-01";"1";"DIRN";"1";"Autoroute non concédée interurbaine";"62";"DIRN"
"3XpPxCb_section2_DIRN_VOIE-523";"2019-01-01";"A0001";"6819";"194";"62";"N";"489";"194230";"700064,97";"7044327,59";"0";"201";"59";"N";"315";"201049";"703969,88";"7049721,88";"0";"I";"0";"ACCROCHE";"=2*3V";"=2*3V";"";"A0001_M8";"1";"MARTINSART";"ML159.S";"3";"QT, TT, VT, LC, VC, KC";"2006-06-01";"1";"DIRN";"1";"Autoroute non concédée interurbaine";"59";"DIRN"
