objetID;dateReferentiel;route;longueur;ploD;absD;cumulD;xD;yD;zD;ploF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;CodeMacroSection;MacroSectionEquipee;NomStationRef;CodeSiredoStationRef;TypeStationRef;TypeStationRef_lib;DateStationRef;IndiceNational;sectionnement_gestionnaire
Obx54ySqFt_5798;01/01/2019;A0001;14258;62PR187D;0;186791;698351,8;7037530,5;0;59PR201D;315;201049;703969,88;7049721,88;0;I;0;ACCROCHE;A0001_M8;1;MARTINSART;ML159.S;3;QT, TT, VT, LC, VC, KC;01/06/2006;1;DIRN
Obx54ySqFt_5799;01/01/2019;A0001;7056;59PR201D;315;201049;703969,88;7049721,88;0;59PR208D;350;208105;707336,72;7055888,26;0;I;0;ACCROCHE;A0001_M9;1;FACHES;ML259.G;2;QT, TT, VT, LC, VC;27/10/2005;1;DIRN
Obx54ySqFt_5800;01/01/2019;A0002;4989;59PR43D;0;42681;723006,21;7017397,47;0;59PR48D;0;47670;725627,61;7021472,12;0;I;0;ACCROCHE;A0002_M1;1;LIEU_ST_AMAND;ML159.A;2;QT, TT, VT, LC, VC;01/01/2015;1;DIRN
Obx54ySqFt_5801;01/01/2019;A0002;14422;59PR64D;30;63673;739544,2;7026627,58;0;59PR78D;456;78095;747571,15;7038120,55;0;I;0;ACCROCHE;A0002_M6;1;ONNAING;ML159.B;3;QT, TT, VT, LC, VC, KC;01/12/2014;1;DIRN
Obx54ySqFt_5802;01/01/2019;A0006;10290;91PR34D;156;25728;661754,81;6829211,15;0;CS77PR44D;0;36018;664266,34;6819482,33;0;I;0;ACCROCHE;A0006_M10;1;A6_NAINVILLE;MI777.A;3;QT, TT, VT, LC, VC, KC;02/11/2015;1;DIRIF
Obx54ySqFt_5803;01/01/2019;A0007;6984;69PR13D;350;13380;842344,16;6506404,82;0;DD69PR20D;0;20364;840302,41;6500067,28;0;I;0;ACCROCHE;A0007_M3;1;COMMUNAY;MY769.T;2;QT, TT, VT, LC, VC;01/01/2014;1;DIRCE
Obx54ySqFt_5804;01/01/2019;A0007;8345;13PR0D;0;268236;881107,2;6269235,08;0;13PR262D;120;276581;882932,67;6261723,36;0;I;0;ACCROCHE;A0007_M4;0;;;;;01/06/2019;0;DIRMED
Obx54ySqFt_5805;01/01/2019;A0007;2193;13PR262D;120;276581;882932,67;6261723,36;0;13PR264D;300;278774;884415,27;6260124,23;0;I;0;ACCROCHE;A0007_M5;0;;;;;01/06/2019;0;DIRMED
Obx54ySqFt_5806;01/01/2019;A0007;1632;13PR264D;300;278774;884415,27;6260124,23;0;13PR265D;1040;280406;885641,21;6259077,08;0;I;0;ACCROCHE;A0007_M6;1;L_AGAVON_MERE;MM713.I;2;QT, TT, VT, LC, VC;01/01/1996;1;DIRMED
Obx54ySqFt_5807;01/01/2019;A0007;1357;13PR265D;1040;280406;885641,21;6259077,08;0;13PR267D;280;281763;886958,06;6258769,64;0;I;0;ACCROCHE;A0007_M7;1;LES_PENNES_MIR;MM713.N;2;QT, TT, VT, LC, VC;01/01/1996;0;DIRMED
Obx54ySqFt_5808;01/01/2019;A0007;3311;13PR267D;280;281763;886958,06;6258769,64;0;13PR270D;585;285074;890116,18;6258747,66;0;I;0;ACCROCHE;A0007_M8;1;PENNES_MIRABEAU;MM713.R;2;QT, TT, VT, LC, VC;01/01/1996;0;DIRMED
