"objetID";"dateReferentiel";"route";"longueur";"prD";"depPrD";"concessionPrD";"absD";"cumulD";"xD";"yD";"zD";"prF";"depPrF";"concessionPrF";"absF";"cumulF";"xF";"yF";"zF";"cote";"voie";"accrochage";"CodeMacroSection";"MacroSectionEquipee";"NomStationRef";"CodeSiredoStationRef";"TypeStationRef";"TypeStationRef_lib";"DateStationRef";"IndiceNational";"sectionnement_gestionnaire"
"Obx54ySqFt_5798";"2019-01-01";"A0001";"14258";"187";"62";"N";"0";"186791";"698351,8";"7037530,5";"0";"201";"59";"N";"315";"201049";"703969,88";"7049721,88";"0";"I";"0";"ACCROCHE";"A0001_M8";"1";"MARTINSART";"ML159.S";"3";"QT, TT, VT, LC, VC, KC";"2006-06-01";"1";"DIRN"
"Obx54ySqFt_5799";"2019-01-01";"A0001";"7056";"201";"59";"N";"315";"201049";"703969,88";"7049721,88";"0";"208";"59";"N";"350";"208105";"707336,72";"7055888,26";"0";"I";"0";"ACCROCHE";"A0001_M9";"1";"FACHES";"ML259.G";"2";"QT, TT, VT, LC, VC";"2005-10-27";"1";"DIRN"
"Obx54ySqFt_5800";"2019-01-01";"A0002";"4989";"43";"59";"N";"0";"42681";"723006,21";"7017397,47";"0";"48";"59";"N";"0";"47670";"725627,61";"7021472,12";"0";"I";"0";"ACCROCHE";"A0002_M1";"1";"LIEU_ST_AMAND";"ML159.A";"2";"QT, TT, VT, LC, VC";"2015-01-01";"1";"DIRN"
"Obx54ySqFt_5801";"2019-01-01";"A0002";"14422";"64";"59";"N";"30";"63673";"739544,2";"7026627,58";"0";"78";"59";"N";"456";"78095";"747571,15";"7038120,55";"0";"I";"0";"ACCROCHE";"A0002_M6";"1";"ONNAING";"ML159.B";"3";"QT, TT, VT, LC, VC, KC";"2014-12-01";"1";"DIRN"
"Obx54ySqFt_5802";"2019-01-01";"A0006";"10290";"34";"91";"N";"156";"25728";"661754,81";"6829211,15";"0";"44";"77";"N";"440";"36018";"664266,34";"6819482,33";"0";"I";"0";"ACCROCHE";"A0006_M10";"1";"A6_NAINVILLE";"MI777.A";"3";"QT, TT, VT, LC, VC, KC";"2015-11-02";"1";"DIRIF"
"Obx54ySqFt_5803";"2019-01-01";"A0007";"6984";"13";"69";"N";"350";"13380";"842344,16";"6506404,82";"0";"20";"69";"N";"330";"20364";"840302,41";"6500067,28";"0";"I";"0";"ACCROCHE";"A0007_M3";"1";"COMMUNAY";"MY769.T";"2";"QT, TT, VT, LC, VC";"2014-01-01";"1";"DIRCE"
"Obx54ySqFt_5804";"2019-01-01";"A0007";"8345";"0";"13";"N";"0";"268236";"881107,2";"6269235,08";"0";"262";"13";"N";"120";"276581";"882932,67";"6261723,36";"0";"I";"0";"ACCROCHE";"A0007_M4";"0";"";"";"";"";"2019-06-01";"0";"DIRMED"
"Obx54ySqFt_5805";"2019-01-01";"A0007";"2193";"262";"13";"N";"120";"276581";"882932,67";"6261723,36";"0";"264";"13";"N";"300";"278774";"884415,27";"6260124,23";"0";"I";"0";"ACCROCHE";"A0007_M5";"0";"";"";"";"";"2019-06-01";"0";"DIRMED"
"Obx54ySqFt_5806";"2019-01-01";"A0007";"1632";"264";"13";"N";"300";"278774";"884415,27";"6260124,23";"0";"265";"13";"N";"1040";"280406";"885641,21";"6259077,08";"0";"I";"0";"ACCROCHE";"A0007_M6";"1";"L_AGAVON_MERE";"MM713.I";"2";"QT, TT, VT, LC, VC";"1996-01-01";"1";"DIRMED"
"Obx54ySqFt_5807";"2019-01-01";"A0007";"1357";"265";"13";"N";"1040";"280406";"885641,21";"6259077,08";"0";"267";"13";"N";"280";"281763";"886958,06";"6258769,64";"0";"I";"0";"ACCROCHE";"A0007_M7";"1";"LES_PENNES_MIR";"MM713.N";"2";"QT, TT, VT, LC, VC";"1996-01-01";"0";"DIRMED"
