objetID;dateReferentiel;route;pr;depPr;concessionPr;abs;cumul;x;y;z;cote;emplacement;voie;distance;accrochage;idNat;alimElec;alimElec_lib;moyTrans;moyTrans_lib;propTrans;propTrans_lib;macroSect;indNatCircu;foncTempsReel;dateInstall;etatEquip;etatEquip_lib;lienTunnel;nbCapteursLien;typeStation;typeStation_lib;technoCapteur;technoCapteur_lib;gestionEquip;gestionEquip_lib;commentaire;sectionnement_departement;sectionnement_gestionnaire
DIRCE__SRDT_000254;01/01/2019;21N927460;3;21;N;115;405;850876,53;6695832,11;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000254;;;;;;;0;0;0;01/10/2013;N;fonctionnement normal;0;5;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;21;DIRCE
DIRCE__SRDT_000135;01/01/2019;26N900740;3;26;N;7;901;853133,17;6426098,84;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000135;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;21/01/2015;N;fonctionnement normal;0;4;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;26;DIRCE
DIRCE__SRDT_000166;01/01/2019;38N908702;4;38;N;911;1897;912402,95;6454664,39;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000166;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;13/01/2010;N;fonctionnement normal;0;2;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;38;DIRCE
DIRCE__SRDT_000285;01/01/2019;38N908705;1;38;N;4;4;912653,83;6454682,78;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000285;PROP;réseau d’énergie propriété de la DIR;F;filaire;;;0;0;0;01/07/2012;;;0;6;DIV;Autre;M;magnétomètre;;;;38;DIRCE
DIRCE__SRDT_000096;01/01/2019;42A904705;1;42;N;130;130;828287,51;6494852,34;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000096;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/06/2009;N;fonctionnement normal;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000099;01/01/2019;42A904715;2;42;N;14;181;822323,32;6490675,35;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000099;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;1;0;0;01/11/1991;OBS;obsolète;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000103;01/01/2019;42A904730;2;42;N;432;974;817112,59;6486515,96;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000103;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/12/2012;N;fonctionnement normal;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000109;01/01/2019;42A907235;1;42;N;366;366;805775,63;6487449,82;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000109;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/06/2009;N;fonctionnement normal;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000245;01/01/2019;42A907245;2;42;N;255;740;800214,12;6493386,8;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000245;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/01/2013;N;fonctionnement normal;0;4;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000246;01/01/2019;42N908810;2;42;N;9;168;813344,53;6483050,34;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000246;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/01/2013;N;fonctionnement normal;0;6;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000247;01/01/2019;42N908820;2;42;N;89;242;810756,76;6482493,62;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000247;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/01/2013;N;fonctionnement normal;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000148;01/01/2019;42N908825;3;42;N;78;343;810332,4;6481073,78;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000148;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/04/2011;N;fonctionnement normal;1;6;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000119;01/01/2019;42N908835;2;42;N;30;30;809447,3;6480074,38;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000119;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/12/2010;N;fonctionnement normal;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
DIRCE__SRDT_000121;01/01/2019;42N908860;1;42;N;56;56;804992,25;6478267,07;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000121;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/12/2010;N;fonctionnement normal;0;6;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;42;DIRCE
194_PMV-DIRN;01/01/2019;59A902212;1;59;N;186;186;708145,12;7064476,64;0;D;;0;0;ACCROCHE;N___SRDT000771;;;F;filaire;P;propriétaire;0;0;1;;;;0;;DIV;Autre;;;;;Marcq-en-Barul;59;DIRN
62_PMV-DIRN;01/01/2019;59A902507;6;59;N;6;291;697231,94;7059205,41;0;D;;0;0;ACCROCHE;N___SRDT000755;;;F;filaire;P;propriétaire;0;0;1;01/01/2001;R;HS à remplacer;0;;DIV;Autre;;;;;Ennetières-en-Weppes;59;DIRN
108_PMV-DIRN;01/01/2019;59N935603;5;59;N;210;600;705791,31;7059616,49;0;D;;0;0;ACCROCHE;N___SRDT000751;;;F;filaire;P;propriétaire;0;0;1;01/01/2001;R;HS à remplacer;0;;DIV;Autre;;;;;Lille;59;DIRN
110_PMV-DIRN;01/01/2019;59N935603;5;59;N;222;612;705779,24;7059613,72;0;D;;0;0;ACCROCHE;N___SRDT000753;;;F;filaire;P;propriétaire;0;0;1;01/01/2001;R;HS à remplacer;0;;DIV;Autre;;;;;Lille;59;DIRN
109_PMV-DIRN;01/01/2019;59N935603;5;59;N;223;613;705778,23;7059613,47;0;D;;0;0;ACCROCHE;N___SRDT000752;;;F;filaire;P;propriétaire;0;0;1;01/01/2001;R;HS à remplacer;0;;DIV;Autre;;;;;Lille;59;DIRN
111_PMV-DIRN;01/01/2019;59N935603;5;59;N;233;623;705768,95;7059608,97;0;D;;0;0;ACCROCHE;N___SRDT000754;;;F;filaire;P;propriétaire;0;0;1;01/01/2001;R;HS à remplacer;0;;DIV;Autre;;;;;Lille;59;DIRN
DIRCE__SRDT_000012;01/01/2019;69A900730;1;69;N;113;113;842820,85;6512768,47;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000012;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/03/2017;N;fonctionnement normal;0;12;ST16;Station 16;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000009;01/01/2019;69A900740;4;69;N;544;1245;843798,18;6510893,03;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000009;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/03/2017;N;fonctionnement normal;0;11;ST16;Station 16;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000255;01/01/2019;69A904220;2;69;N;10;454;850538,79;6523772,09;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000255;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/07/2015;N;fonctionnement normal;0;4;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000086;01/01/2019;69A904310;4;69;N;129;2906;847726,12;6516146,6;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000086;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;18/01/2018;V;normal mais vieillissant;0;4;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000042;01/01/2019;69A904320;9;69;N;293;1273;849502,77;6515811,99;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000042;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;04/02/1999;V;normal mais vieillissant;0;10;ST16;Station 16;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000043;01/01/2019;69A945005;1;69;N;123;123;842401,25;6512274,68;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000043;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/06/2002;V;normal mais vieillissant;0;8;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000051;01/01/2019;69A945015;3;69;N;64;398;837664,51;6509412,31;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000051;PROP;réseau d’énergie propriété de la DIR;F;filaire;P;propriétaire;0;0;0;01/05/2004;N;fonctionnement normal;0;6;SIR8;SIREDO 8;BEM;boucle électromagnétique;;;;69;DIRCE
DIRCE__SRDT_000237;01/01/2019;71N908035;3;71;N;376;1144;819237,75;6627727,41;0;D;;0;0;ACCROCHE;DIRCE__SRDT_000237;;;;;;;1;0;0;01/10/2018;N;fonctionnement normal;0;4;SIR4;SIREDO 4;BEM;boucle électromagnétique;;;;71;DIRCE
