objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;modeComptage;modeComptage_lib;tmjaVL;tmjaPL;tmjm01VL;tmjm01PL;tmjm02VL;tmjm02PL;tmjm03VL;tmjm03PL;tmjm04VL;tmjm04PL;tmjm05VL;tmjm05PL;tmjm06VL;tmjm06PL;tmjm07VL;tmjm07PL;tmjm08VL;tmjm08PL;tmjm09VL;tmjm09PL;tmjm10VL;tmjm10PL;tmjm11VL;tmjm11PL;tmjm12VL;tmjm12PL;sectionnement_departement;sectionnement_gestionnaire
kPidNoBFXR_15;02/01/2018;A0411;953;0;74;C;0;0;948960,51;6569745,79;0;0;74;C;953;953;948030,07;6569976,23;0;I;0;ACCROCHE;1;1;29213;460;28484;375;29951;500;29574;447;28989;459;28252;451;29387;469;27084;468;28715;465;29574;511;29873;441;30723;537;30084;403;74;ATMB
kPidNoBFXR_16;02/01/2018;A0411;1186;0;74;C;953;953;948030,07;6569976,23;0;2;74;C;139;2139;946921,7;6570401,04;0;I;0;ACCROCHE;1;1;17202;190;17257;167;18147;217;17621;185;17011;175;16835;170;17523;177;15780;197;16403;216;17036;227;16744;131;18385;240;17810;182;74;ATMB
Qm9uydFBcz_1;02/01/2018;A0065;11180;0;33;C;0;0;446271,16;6386389,26;0;11;33;C;180;11180;441688,08;6377205,69;0;I;0;ACCROCHE;1;1;7811;1029;6928;984;8862;1089;8536;1061;7322;1014;7034;994;7330;1107;9456;1075;10414;912;7565;1026;7356;1163;5953;1035;6979;898;33;ALIENOR
GBKZI0ibzc_1;02/01/2018;A0065;19170;11;33;C;180;11180;441688,08;6377205,69;0;30;33;C;350;30350;442146,83;6359167,84;0;I;0;ACCROCHE;1;1;7131;913;6385;873;8182;949;7915;937;6663;900;6358;892;6627;978;8698;958;9670;823;6901;914;6694;1041;5169;899;6307;795;33;ALIENOR
GBKZI0ibzc_2;02/01/2018;A0065;9930;30;33;C;350;30350;442146,83;6359167,84;0;40;33;C;280;40280;439625,93;6349616,96;0;I;0;ACCROCHE;1;1;7021;898;6272;856;8064;926;7807;921;6529;890;6240;877;6542;965;8588;944;9596;818;6787;895;6581;1015;5058;888;6190;784;33;ALIENOR
ckRqRXe_section1_GBKZI0ibzc_2;02/01/2018;A0065;18620;40;33;C;280;40280;439625,93;6349616,96;0;58;40;C;900;58900;432680,6;6333146,63;0;I;0;ACCROCHE;1;1;7021;898;6272;856;8064;926;7807;921;6529;890;6240;877;6542;965;8588;944;9596;818;6787;895;6581;1015;5058;888;6190;784;40;ALIENOR
Qm9uydFBcz_4;02/01/2018;A0065;11720;58;40;C;900;58900;432680,6;6333146,63;0;70;40;C;620;70620;427939,84;6322745,04;0;I;0;ACCROCHE;1;1;6895;843;6199;800;8012;872;7716;859;6393;835;6111;821;6417;902;8438;884;9438;772;6652;843;6422;960;4912;831;6031;736;40;ALIENOR
Qm9uydFBcz_5;02/01/2018;A0065;28830;70;40;C;620;70620;427939,84;6322745,04;0;99;40;C;450;99450;436266,4;6296726,49;0;I;0;ACCROCHE;1;1;5891;658;5505;626;7321;685;6905;680;5440;665;5195;650;5389;705;6980;686;7992;594;5590;661;5383;760;3983;631;5050;555;40;ALIENOR
GBKZI0ibzc_3;02/01/2018;A0065;6450;99;40;C;450;99450;436266,4;6296726,49;0;105;40;C;900;105900;435068,48;6290738,1;0;I;0;ACCROCHE;1;1;7468;788;7020;754;8938;804;8576;817;7060;766;6782;766;7274;840;8628;810;9363;746;7281;831;7068;956;5304;733;6367;632;40;ALIENOR
GBKZI0ibzc_4;02/01/2018;A0065;11310;105;40;C;900;105900;435068,48;6290738,1;0;117;40;C;210;117210;433881,11;6279854,32;0;I;0;ACCROCHE;1;1;6196;693;5912;667;7758;713;7288;732;5717;686;5499;686;5794;740;7229;720;8024;662;5973;719;5779;790;4236;642;5198;560;40;ALIENOR
ckRqRXe_section1_GBKZI0ibzc_4;02/01/2018;A0065;790;117;40;C;210;117210;433881,11;6279854,32;0;118;64;C;0;118000;433556,36;6279140,6;0;I;0;ACCROCHE;1;1;6196;693;5912;667;7758;713;7288;732;5717;686;5499;686;5794;740;7229;720;8024;662;5973;719;5779;790;4236;642;5198;560;64;ALIENOR
Qm9uydFBcz_8;02/01/2018;A0065;12060;118;64;C;0;118000;433556,36;6279140,6;0;130;64;C;60;130060;431222,87;6268676,98;0;I;0;ACCROCHE;1;1;6393;719;6099;681;7952;732;7502;754;5916;713;5701;713;5997;767;7458;747;8230;691;6184;774;5987;815;4408;660;5329;579;64;ALIENOR
Qm9uydFBcz_9;02/01/2018;A0065;20180;130;64;C;60;130060;431222,87;6268676,98;0;150;64;C;240;150240;420323,13;6256745,83;0;I;0;ACCROCHE;1;1;6055;678;5813;649;7635;702;7184;717;5555;675;5370;684;5659;726;7093;702;7868;652;5845;725;5633;766;4099;614;4960;532;64;ALIENOR
sCZ1PUAt5F_1;02/01/2018;A0088;15045;0;61;C;545;545;492906,6;6840809,52;0;15;61;C;590;15590;479737,53;6847345,75;0;I;0;ACCROCHE;1;1;5409;1003;3957;937;4188;1037;4677;1013;5332;992;5708;967;6056;1075;6967;1028;7170;845;5893;969;5494;1080;4733;1133;4731;948;61;ALICORNE
sCZ1PUAt5F_2;02/01/2018;A0088;18847;15;61;C;590;15590;479737,53;6847345,75;0;34;61;C;437;34437;470239,05;6862022,72;0;I;0;ACCROCHE;2;2;5370;1000;4305;819;4512;892;4957;910;5570;960;5735;956;6185;1141;4322;277;7663;1387;5875;1201;5545;1209;4820;1236;4948;1008;61;ALICORNE
FZnG4c3_section1_sCZ1PUAt5F_2;02/01/2018;A0088;270;34;61;C;437;34437;470239,05;6862022,72;0;34;61;C;707;34707;470151,15;6862277,73;0;I;0;ACCROCHE;2;2;5370;1000;4305;819;4512;892;4957;910;5570;960;5735;956;6185;1141;4322;277;7663;1387;5875;1201;5545;1209;4820;1236;4948;1008;14;ALICORNE
FZnG4c3_section2_sCZ1PUAt5F_2;02/01/2018;A0088;31;34;61;C;707;34707;470151,15;6862277,73;0;34;61;C;738;34738;470134,33;6862315,15;0;I;0;ACCROCHE;2;2;5370;1000;4305;819;4512;892;4957;910;5570;960;5735;956;6185;1141;4322;277;7663;1387;5875;1201;5545;1209;4820;1236;4948;1008;61;ALICORNE
FZnG4c3_section3_sCZ1PUAt5F_2;02/01/2018;A0088;169;34;61;C;738;34738;470134,33;6862315,15;0;34;61;C;907;34907;470055,64;6862469,93;0;I;0;ACCROCHE;2;2;5370;1000;4305;819;4512;892;4957;910;5570;960;5735;956;6185;1141;4322;277;7663;1387;5875;1201;5545;1209;4820;1236;4948;1008;14;ALICORNE
FZnG4c3_section4_sCZ1PUAt5F_2;02/01/2018;A0088;144;34;61;C;907;34907;470055,64;6862469,93;0;35;61;C;51;35051;469970,75;6862590,36;0;I;0;ACCROCHE;2;2;5370;1000;4305;819;4512;892;4957;910;5570;960;5735;956;6185;1141;4322;277;7663;1387;5875;1201;5545;1209;4820;1236;4948;1008;61;ALICORNE
sCZ1PUAt5F_3;02/01/2018;A0088;4979;39;14;C;898;39898;466882,52;6866285,78;0;44;14;C;877;44877;463966,51;6870225,61;0;I;0;ACCROCHE;2;2;8863;1543;7722;1215;7992;1354;8568;1382;9549;1433;9888;1391;10238;1528;10821;1558;10314;1713;9163;1806;8176;1865;7137;1657;6785;1612;14;ALICORNE
pt7rUqr9QQ_121;02/01/2018;A0007;10245;6;38;C;0;20364;843170,65;6487932,34;0;16;38;C;245;30609;841286,89;6478245,59;0;I;0;ACCROCHE;1;1;59987;14380;41527;14332;42969;15249;47206;15443;64314;14876;67594;14665;68243;15649;88043;14896;94726;12160;66070;13760;54418;15247;40392;14432;42666;11972;38;ASF
pt7rUqr9QQ_122;02/01/2018;A0007;7385;16;38;C;245;30609;841286,89;6478245,59;0;23;38;C;630;37994;841946,36;6471025,19;0;I;0;ACCROCHE;1;1;60936;14479;42323;14427;43866;15351;48163;15547;65330;14974;68603;14763;69323;15756;89322;15009;95805;12250;67028;13862;55373;15359;41103;14525;43314;12043;38;ASF
pt7rUqr9QQ_123;02/01/2018;A0007;2650;23;38;C;630;37994;841946,36;6471025,19;0;26;38;C;280;40644;842482,22;6468533,76;0;I;0;ACCROCHE;1;1;55769;13280;36957;13131;38495;13976;42578;14166;59975;13774;63347;13625;63646;14489;84117;13772;91795;11267;61820;12717;49729;14000;36412;13462;38648;11093;38;ASF
OM35XGe_section1_pt7rUqr9QQ_123;02/01/2018;A0007;28826;26;38;C;280;40644;842482,22;6468533,76;0;55;26;C;106;69470;847309,67;6442597,33;0;I;0;ACCROCHE;1;1;55769;13280;36957;13131;38495;13976;42578;14166;59975;13774;63347;13625;63646;14489;84117;13772;91795;11267;61820;12717;49729;14000;36412;13462;38648;11093;26;ASF
pt7rUqr9QQ_124;02/01/2018;A0007;10733;55;26;C;106;69470;847309,67;6442597,33;0;65;26;C;839;80203;848666,22;6432135,15;0;I;0;ACCROCHE;1;1;55458;13052;36597;12833;38296;13713;42615;13897;59899;13665;63136;13534;63842;14383;83075;13503;91255;11037;61778;12450;49520;13707;35910;13190;37896;10822;26;ASF
pt7rUqr9QQ_125;02/01/2018;A0007;7931;65;26;C;839;80203;848666,22;6432135,15;0;73;26;C;770;88134;848028,98;6424350,86;0;I;0;ACCROCHE;1;1;50167;12984;31586;12872;33063;13722;37132;13885;54104;13519;57658;13364;57916;14211;77552;13455;86219;10976;56304;12414;43989;13679;31321;13120;33470;10702;26;ASF
pt7rUqr9QQ_126;02/01/2018;A0007;18505;73;26;C;770;88134;848028,98;6424350,86;0;92;26;C;275;106639;841979,92;6408158,15;0;I;0;ACCROCHE;1;1;69968;13982;48615;13842;51406;14756;56473;14900;75562;14544;78577;14396;79517;15361;103694;14621;112507;11869;78121;13470;63346;14842;43902;14060;46014;11249;26;ASF
pt7rUqr9QQ_127;02/01/2018;A0007;9927;92;26;C;275;106639;841979,92;6408158,15;0;102;26;C;202;116566;842441,09;6398504,77;0;I;0;ACCROCHE;1;1;66003;13723;44573;13583;47494;14518;52071;14629;71295;14257;74399;14137;74841;15059;100263;14363;109293;11685;73805;13224;58967;14547;40254;13755;42871;11041;26;ASF
pt7rUqr9QQ_128;02/01/2018;A0007;22431;102;26;C;202;116566;842441,09;6398504,77;0;124;26;C;633;138997;840496,9;6377353,4;0;I;0;ACCROCHE;1;1;59804;13059;38969;12985;41607;13844;46123;14027;64606;13640;67671;13500;67715;14347;93859;13669;103324;11134;67083;12513;52459;13792;34742;12953;37564;10423;26;ASF
pt7rUqr9QQ_129;02/01/2018;A0007;17977;124;26;C;633;138997;840496,9;6377353,4;0;142;26;C;610;156974;838696,36;6360045,49;0;I;0;ACCROCHE;1;1;58997;12727;38425;12671;40840;13480;45308;13610;63974;13331;66868;13214;66609;13982;93205;13321;103509;10908;66464;12181;51913;13373;34016;12645;34918;10122;26;ASF
